Datum 1  registrace,Datum 1  registrace v ČR,ZTP,ES EU,Druh vozidla,Druh vozidla 2  ř ,Kategorie vozidla,Tovární značka,Typ,Varianta,Verze,VIN,Obchodní označení,Výrobce vozidla,Výrobce motoru,Typ motoru,Max  výkon  kW     min⁻¹ ,Palivo,Zdvihový objem  cm³ ,Plně elektrické vozidlo,Hybridní vozidlo,Třída hybridního vozidla,Emisní limit  EHKOSN EHSES ,Stupeň plnění emisní úrovně,Korigovaný součinitel absorbce  m⁻¹ ,CO2 město  mimo město kombinované  g km-1 ,Specifické CO2,Snížení emisí – NEDC,Snížení emisí – WLTP,Spotřeba předpis,Spotřeba město  mimo město kombinovaná  l 100km⁻¹ ,Spotřeba při rychlosti  l 100 km⁻¹ ,Spotřeba el  mobil  Wh km  – Z,Dojezd ZR  km ,Výrobce karoserie,Druh (typ),Výrobní číslo karoserie,Barva,Barva doplňková,Počet míst celkem   k sezení   k stání,Celková délka šířka výška  mm ,Rozvor  mm ,Rozchod  mm ,Provozní hmotnost,Největší technicky přípustná povolená hmotnost  kg ,Největší technicky přípustná povolená hmotnost na nápravu  kg ,Největší technicky přípustná povolená hmotnost přípojného vozidla  kg  brzděného,Největší technicky přípustná povolená hmotnost přípojného vozidla  kg  nebrzděného,Největší technicky přípustná povolená hmotnost jízdní soupravy  kg ,Hmotnosti vozidla při testu WLTP,Průměrná hodnota užitečného zatížení,Spojovací zařízení - druh,Počet náprav - z toho poháněných,Kola a pneumatiky na nápravě - rozměry montáž  N 1; N 2; N 3; N 4 ,Vnější hluk vozidla  dB(A)  - stojícího při ot   min⁻¹ ,Za jízdy,Nejvyšší rychlost  km h⁻¹ ,Poměr Výkon Hmotnost  kW kg⁻¹ ,Inovativní technologie,Stupeň dokončení,Faktor odchylky - DE,Faktor verifikace - Vf,Účel vozidla,Další záznamy,Alternativní provedení,Číslo TP,Číslo ORV,Druh RZ,Zařazení vozidla,Status,PČV,ABS,Airbag,ASR,Brzdy nouzová,Brzdy odlehčovací,Brzdy parkovací,Brzdy provozní,Doplňkový text na TP,Hmotnosti provozní Do,Hmotnosti zatížení SZ,Hmotnosti zatížení SZ typ,Hydropohon,Objem cisterny,Zatížení střechy,Číslo motoru,Nejvyšší rychlost omezení,Ovládání brzd SZ,Ovládání brzd SZ druh,Retarder,Rok výroby,Délka do,Ložná délka,Ložná šířka,Výška do,Typ kód,RM zániku,Stupeň autonomity vozidla
07.05.1990,07.05.1990,,,TRAKTOR,ZEMĚDĚLSKÝ KOLOVÝ,T1,ZETOR,"ZETOR 7711 /",Z 7701,,14329,7711,"AGROZET ZETOR, K.P., BRNO, čESKÁ REPUBLIKA","ZBROJOVKA , K.P., BRNO, ČR",Z 7701,"50 / 2200",NM,"3922",NE,NE,, / ,,"0", /  / ,,,,"ČSN","/  /","25 / 19",,,"AGROZET ZETOR, K.P., BRNO, ČR",ZEMĚDĚLSKÝ KOLOVÝ,,ČERVENÁ-ZÁKLADNÍ,,2 / 2 / 0,3780/ 1841/ 2683,2257,/ / / ,3475,5090/ 5090,1462/ 1462|3532/ 3532|/ |/ |,8500/ 8500,/ ,/ ,,,ETÁŽ ZÁVĚS S AUTOMAT. HUBICÍ,2/ -1,"750-16; 6,50-16; 7.50-20 / 5,50Fx16;4,50Ex16;5,50Fx20|16,9-30;16,9-28;12,4-36;13,6-36;16,9-34/ DW14x30;W12x28;W11x36;W15Lx34|/ |/ |","87/ 0",86,25,,,,,,Běžný provoz,"",,AI548957,UAR147466,STD. SILNIČNÍ,RSV,PROVOZOVANÉ,1780952,False,,False,False,False,True,True,"",,,,False,,0,15104,,,,False,1989,,0,0,,,,Neuvedeno
01.01.1973,12.09.1991,437-001-63,,OSOBNÍ AUTOMOBIL,.,M1,.,"TRABANT 601 /",,,2052046,.,".",".",P 60,"0 / 0",BA 80,"595",NE,NE,, / ,,"0", /  / ,,,,"","0 / 0 / 0","",,,".",.,2052046,BÍLÁ,,4 / 4 / 0,0/ 0/ 0,0,/ / / ,620,950/ 950,0/ 0|/ |/ |/ |,0/ 0,0/ 0,0/ 0,,,.,2/ .,"/ |/ |/ |/ |","0/ 0",0,0,0,,,,,,"",,AD166988,,OSOBNÍ,RSV,ZÁNIK,1780953,,,,False,False,False,False,"",,,,,0,0,63-413751,,,,,1973,,0,0,,,ROŽNOV POD RADHOŠTĚM,Neuvedeno
02.04.1981,02.04.1981,716-007-69,,Nákladní automobil sklápěcí,.,N3,.,"ŠKODA 706 MTS 24 R /",,,340918103,.,".",".",M 634,"0 / 0",NM,"11940",NE,NE,, / ,,"0", /  / ,,,,"","0 / 0 / 0","",,,".",.,340918103,ŠEDÁ-ZÁKLADNÍ,,2 / 2 / 0,0/ 0/ 0,0,/ / / ,7200,16000/ 16000,0/ 0|/ |/ |/ |,0/ 0,0/ 0,0/ 0,,,.,2/ .,"/ |/ |/ |/ |","0/ 0",0,0,0,,,,,,"",,AG559412,,NÁKLADNÍ,RSV,ZÁNIK,1780954,,,,False,False,False,False,"",,,,,0,0,03078102142,,,,,1981,,0,0,,,MD (vozidlo bez RM),Neuvedeno
01.01.1990,27.06.1991,,,Přívěs za os.automobil-nákladní,.,O1,.,"SPORT JACHT PS 500 /",,,5261,.,".",".",- POLOŽKA NEBYLA NAPLNĚNA,"0 / 0",- POLOŽKA NEBYLA NAP,"0",NE,NE,, / ,,"0", /  / ,,,,"","0 / 0 / 0","",,,".",.,5261,HNĚDÁ-ZÁKLADNÍ,ŠEDÁ-ZÁKLADNÍ,0 / 0 / 0,0/ 0/ 0,0,/ / / ,140,500/ 500,0/ 0|/ |/ |/ |,0/ 0,0/ 0,0/ 0,,,.,1/ .,"/ |/ |/ |/ |","0/ 0",0,0,0,,,,,,"",,AK558241,BAA292281,PŘÍVĚS DO 750kg,RSV,PROVOZOVANÉ,1780955,,,,False,False,False,False,"",,,,,0,0,,,,,,1990,,0,0,,,,Neuvedeno
18.01.1988,18.01.1988,,,Přívěs za os.automobil,,O1,KOVOPLAST,"KOVOPLAST NP 2 P / NP-28",,,166,.,".",".",,"/",.,"",NE,NE,, / ,,"0", /  / ,,,,"","0 / 0 / 0","",,,"VLASTNÍ VÝROBA.",VALNÍK,166,ČERNÁ,ORANŽOVÁ,0 / 0 / 0,2400/ 1510/ 850,0,/ / / ,98,350/ 350,25/ 25|325/ 325|/ |/ |,0/ 0,0/ 0,0/ 0,,,PŘÍVĚSOVÝ KLOUB KP-03,1/ -0,"4.00-8 SCOOTER/ 2,45-8|/ |/ |/ |","0/ 0",0,80,0,,,,,Běžný provoz,"",,AH486287,UAX182321,STD. SILNIČNÍ,RSV,PROVOZOVANÉ,1780956,False,,,False,False,False,False,"",,,,,,0,,,,,False,1987,,1500,1310,,NP-28,,Neuvedeno
01.01.1969,11.02.1980,,,Osobní automobil-dodávka,.,M1,.,"ŠKODA 1203 /",,,8800268,.,".",".",ŠKODA 776,"0 / 0",BA 96,"1221",NE,NE,, / ,,"0", /  / ,,,,"","0 / 0 / 0","",,,".",.,8800268,ŠEDÁ-ZÁKLADNÍ,,2 / 2 / 0,0/ 0/ 0,0,/ / / ,1190,2140/ 2140,0/ 0|/ |/ |/ |,0/ 0,0/ 0,0/ 0,,,.,2/ .,"/ |/ |/ |/ |","0/ 0",0,0,0,,,,,,"",,AC251263,,DODÁVKA,RSV,ZÁNIK,1780957,,,,False,False,False,False,"",,,,,0,0,8800268,,,,,1969,,0,0,,,MD (vozidlo bez RM),Neuvedeno
01.01.1958,05.06.1973,47,,MOTOCYKL,.,L3,.,"JAWA ČZ 175/356 /",,,760403,.,".",".",356,"0 / 0",BA 80,"172",NE,NE,, / ,,"0", /  / ,,,,"","0 / 0 / 0","",,,".",.,760403,ČERVENÁ-ZÁKLADNÍ,,2 / 2 / 0,0/ 0/ 0,0,/ / / ,125,275/ 275,0/ 0|/ |/ |/ |,0/ 0,0/ 0,0/ 0,,,.,2/ .,"/ |/ |/ |/ |","0/ 0",0,0,0,,,,,,"",,AA382481,,MOTOCYKL,RSV,ZÁNIK,1780958,,,,False,False,False,False,"",,,,,0,0,4/1-122/58,,,,,1958,,0,0,,,ČESKÁ LÍPA,Neuvedeno
01.01.1957,29.06.1964,157,,Skútr,.,L3,.,"ČZ 175/501 /",,,102419,.,".",".",501,"0 / 0",BA 80,"172",NE,NE,, / ,,"0", /  / ,,,,"","0 / 0 / 0","",,,".",.,102419,MODRÁ-ZÁKLADNÍ,,2 / 2 / 0,0/ 0/ 0,0,/ / / ,132,282/ 282,0/ 0|/ |/ |/ |,0/ 0,0/ 0,0/ 0,,,.,2/ .,"/ |/ |/ |/ |","0/ 0",0,0,0,,,,,,"",,AA311258,,MOTOCYKL,RSV,PROVOZOVANÉ,1780959,,,,False,False,False,False,"",,,,,0,0,102419,,,,,1957,,0,0,,,,Neuvedeno
01.01.1959,01.01.1959,157,,Skútr,.,L3,.,"ČZ 175/501 /",,,137652,.,".",".",501,"0 / 0",BA 80,"172",NE,NE,, / ,,"0", /  / ,,,,"","0 / 0 / 0","",,,".",.,137652,MODRÁ-ZÁKLADNÍ,ŠEDÁ-ZÁKLADNÍ,2 / 2 / 0,0/ 0/ 0,0,/ / / ,132,282/ 282,0/ 0|/ |/ |/ |,0/ 0,0/ 0,0/ 0,,,.,2/ .,"/ |/ |/ |/ |","0/ 0",0,0,0,,,,,,"",,AA660646,UAB640138,MOTOCYKL,RSV,PROVOZOVANÉ,1780960,,,,False,False,False,False,"",,,,,0,0,138094,,,,,1959,,0,0,,,,Neuvedeno
21.09.1989,21.09.1989,1978-0II-89,,Motocykl malý,.,L3,SIMSON SR50/1C-CS,"SIMSON SR 50/1C-CS /",,,8160129,.,".",".",M 541 KFS,"2.7 / 5500",BA 90,"49,8",NE,NE,, / ,,"0", /  / ,,,,"","0 / 0 / 0","",,,".",.,8160129,ČERVENÁ-ZÁKLADNÍ,,2 / 2 / 0,0/ 0/ 0,0,/ / / ,83,260/ 260,0/ 0|/ |/ |/ |,0/ 0,0/ 0,0/ 0,,,.,2/ .,"/ |/ |/ |/ |","0/ 0",0,60,0,,,,,,"",,AK029029,UAL654951,STD. SILNIČNÍ,RSV,PROVOZOVANÉ,1780961,False,,False,False,False,False,False,"",,,,,,0,5825208,,,,False,1989,,0,0,,,,Neuvedeno
